breed1	score1	breed2	score2	breed3	score3	timestamp	filename	path
"boxer, american bulldog"	0.426	Great Dane	0.224	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.089	172.6343398	american_bulldog_147.jpg	images/american_bulldog_147.jpg
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.301	"Walker hound, Walker foxhound"	0.172	beagle	0.131	176.086509	american_bulldog_148.jpg	images/american_bulldog_148.jpg
"boxer, american bulldog"	0.293	Labrador retriever	0.107	bull mastiff	0.086	179.4283049	american_bulldog_149.jpg	images/american_bulldog_149.jpg
"Staffordshire bullterrier, Staffordshire bull terrier"	0.257	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.142	"boxer, american bulldog"	0.121	182.718092	american_bulldog_15.jpg	images/american_bulldog_15.jpg
Great Dane	0.67	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.061	"Staffordshire bullterrier, Staffordshire bull terrier"	0.034	186.0020308	american_bulldog_150.jpg	images/american_bulldog_150.jpg
Italian greyhound	0.21	Brittany spaniel	0.119	beagle	0.104	189.2938139	american_bulldog_151.jpg	images/american_bulldog_151.jpg
Great Dane	0.673	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.095	"boxer, american bulldog"	0.051	192.610605	american_bulldog_152.jpg	images/american_bulldog_152.jpg
"ram, tup"	0.421	ox	0.168	"clumber, clumber spaniel"	0.144	195.918062	american_bulldog_153.jpg	images/american_bulldog_153.jpg
Weimaraner	0.833	Italian greyhound	0.02	Labrador retriever	0.018	199.216686	american_bulldog_158.jpg	images/american_bulldog_158.jpg
"boxer, american bulldog"	0.324	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.14	"Staffordshire bullterrier, Staffordshire bull terrier"	0.14	202.5221229	american_bulldog_16.jpg	images/american_bulldog_16.jpg
"dalmatian, coach dog, carriage dog"	0.978	muzzle	0.006	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.004	205.8468189	american_bulldog_161.jpg	images/american_bulldog_161.jpg
"boxer, american bulldog"	0.372	"Walker hound, Walker foxhound"	0.176	basenji	0.114	209.157742	american_bulldog_164.jpg	images/american_bulldog_164.jpg
"washer, automatic washer, washing machine"	0.138	"boxer, american bulldog"	0.107	"dalmatian, coach dog, carriage dog"	0.065	212.4604559	american_bulldog_166.jpg	images/american_bulldog_166.jpg
paper towel	0.194	"hammerhead, hammerhead shark"	0.072	burrito	0.054	215.748729	american_bulldog_167.jpg	images/american_bulldog_167.jpg
whippet	0.399	"boxer, american bulldog"	0.177	Great Dane	0.172	219.047178	american_bulldog_168.jpg	images/american_bulldog_168.jpg
"Cardigan, Cardigan Welsh corgi"	0.905	"Saint Bernard, St Bernard"	0.013	"Walker hound, Walker foxhound"	0.011	222.3418059	american_bulldog_169.jpg	images/american_bulldog_169.jpg
sleeping bag	0.517	"quilt, comforter, comfort, puff"	0.22	plastic bag	0.118	225.6691718	american_bulldog_171.jpg	images/american_bulldog_171.jpg
"boxer, american bulldog"	0.961	bull mastiff	0.021	"Walker hound, Walker foxhound"	0.007	228.9899819	american_bulldog_172.jpg	images/american_bulldog_172.jpg
"Saint Bernard, St Bernard"	0.183	"boxer, american bulldog"	0.162	"Boston bull, Boston terrier"	0.152	232.2850409	american_bulldog_173.jpg	images/american_bulldog_173.jpg
"boxer, american bulldog"	0.643	"Boston bull, Boston terrier"	0.141	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.086	235.5804029	american_bulldog_174.jpg	images/american_bulldog_174.jpg
"boxer, american bulldog"	0.92	bull mastiff	0.049	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.028	239.0559049	american_bulldog_175.jpg	images/american_bulldog_175.jpg
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.635	"Staffordshire bullterrier, Staffordshire bull terrier"	0.291	"boxer, american bulldog"	0.047	242.3514349	american_bulldog_176.jpg	images/american_bulldog_176.jpg
"boxer, american bulldog"	0.679	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.125	bluetick	0.048	245.6603079	american_bulldog_177.jpg	images/american_bulldog_177.jpg
"Boston bull, Boston terrier"	0.369	toy terrier	0.138	basenji	0.122	248.985678	american_bulldog_178.jpg	images/american_bulldog_178.jpg
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.793	"Staffordshire bullterrier, Staffordshire bull terrier"	0.099	"boxer, american bulldog"	0.094	252.2903969	american_bulldog_179.jpg	images/american_bulldog_179.jpg
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.724	"Staffordshire bullterrier, Staffordshire bull terrier"	0.268	"boxer, american bulldog"	0.007	255.7181909	american_bulldog_18.jpg	images/american_bulldog_18.jpg
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.547	"boxer, american bulldog"	0.201	"Staffordshire bullterrier, Staffordshire bull terrier"	0.188	259.009944	american_bulldog_180.jpg	images/american_bulldog_180.jpg
"Saint Bernard, St Bernard"	0.272	"Staffordshire bullterrier, Staffordshire bull terrier"	0.234	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.233	262.340574	american_bulldog_181.jpg	images/american_bulldog_181.jpg
"boxer, american bulldog"	0.997	bull mastiff	0.001	French bulldog	0.001	265.6286578	american_bulldog_182.jpg	images/american_bulldog_182.jpg
Labrador retriever	0.687	Great Pyrenees	0.116	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.028	268.975878	american_bulldog_183.jpg	images/american_bulldog_183.jpg
"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus"	0.754	Labrador retriever	0.115	kuvasz	0.049	272.2839329	american_bulldog_184.jpg	images/american_bulldog_184.jpg
"dalmatian, coach dog, carriage dog"	0.572	"boxer, american bulldog"	0.169	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.127	275.5983419	american_bulldog_185.jpg	images/american_bulldog_185.jpg
"boxer, american bulldog"	0.899	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.052	beagle	0.014	278.940331	american_bulldog_186.jpg	images/american_bulldog_186.jpg
"Boston bull, Boston terrier"	0.261	"Staffordshire bullterrier, Staffordshire bull terrier"	0.15	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.117	282.241967	american_bulldog_187.jpg	images/american_bulldog_187.jpg
"mouse, computer mouse"	0.049	"Boston bull, Boston terrier"	0.049	"ice cream, icecream"	0.043	285.5294459	american_bulldog_188.jpg	images/american_bulldog_188.jpg
"boxer, american bulldog"	0.577	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.278	"Staffordshire bullterrier, Staffordshire bull terrier"	0.105	289.1619449	american_bulldog_189.jpg	images/american_bulldog_189.jpg
"boxer, american bulldog"	0.275	"dalmatian, coach dog, carriage dog"	0.162	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.121	293.6994028	american_bulldog_19.jpg	images/american_bulldog_19.jpg
French bulldog	0.935	"boxer, american bulldog"	0.062	bull mastiff	0.001	298.6156619	american_bulldog_190.jpg	images/american_bulldog_190.jpg
whippet	0.246	"boxer, american bulldog"	0.176	Italian greyhound	0.14	303.416486	american_bulldog_191.jpg	images/american_bulldog_191.jpg
"dalmatian, coach dog, carriage dog"	0.388	"Staffordshire bullterrier, Staffordshire bull terrier"	0.366	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.124	308.1719549	american_bulldog_192.jpg	images/american_bulldog_192.jpg
French bulldog	0.474	Labrador retriever	0.328	"clumber, clumber spaniel"	0.035	313.0035088	american_bulldog_193.jpg	images/american_bulldog_193.jpg
Labrador retriever	0.961	bath towel	0.02	beagle	0.006	317.694119	american_bulldog_194.jpg	images/american_bulldog_194.jpg
Labrador retriever	0.309	French bulldog	0.304	English setter	0.115	322.682215	american_bulldog_196.jpg	images/american_bulldog_196.jpg
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.64	French bulldog	0.212	"Staffordshire bullterrier, Staffordshire bull terrier"	0.105	327.443193	american_bulldog_197.jpg	images/american_bulldog_197.jpg
Labrador retriever	0.732	bull mastiff	0.098	"clumber, clumber spaniel"	0.044	332.4122479	american_bulldog_198.jpg	images/american_bulldog_198.jpg
"dalmatian, coach dog, carriage dog"	0.502	Labrador retriever	0.126	beagle	0.099	337.25353	american_bulldog_199.jpg	images/american_bulldog_199.jpg
French bulldog	0.366	"Boston bull, Boston terrier"	0.283	"boxer, american bulldog"	0.111	342.014689	american_bulldog_2.jpg	images/american_bulldog_2.jpg
"boxer, american bulldog"	0.387	French bulldog	0.182	bull mastiff	0.064	346.802794	american_bulldog_20.jpg	images/american_bulldog_20.jpg
"boxer, american bulldog"	0.315	bath towel	0.115	Labrador retriever	0.082	351.359524	american_bulldog_200.jpg	images/american_bulldog_200.jpg
Weimaraner	0.125	Labrador retriever	0.123	muzzle	0.112	354.9312809	american_bulldog_201.jpg	images/american_bulldog_201.jpg
"boxer, american bulldog"	0.407	Labrador retriever	0.202	French bulldog	0.074	358.234092	american_bulldog_202.jpg	images/american_bulldog_202.jpg
"boxer, american bulldog"	0.221	"Saint Bernard, St Bernard"	0.149	Labrador retriever	0.142	361.5286829	american_bulldog_203.jpg	images/american_bulldog_203.jpg
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.265	Labrador retriever	0.191	"Staffordshire bullterrier, Staffordshire bull terrier"	0.11	364.8249469	american_bulldog_205.jpg	images/american_bulldog_205.jpg
Weimaraner	0.363	Labrador retriever	0.319	"boxer, american bulldog"	0.1	368.114923	american_bulldog_207.jpg	images/american_bulldog_207.jpg
"boxer, american bulldog"	0.319	"Boston bull, Boston terrier"	0.193	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.097	371.3958368	american_bulldog_208.jpg	images/american_bulldog_208.jpg
"boxer, american bulldog"	0.567	Labrador retriever	0.24	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.085	374.6963499	american_bulldog_209.jpg	images/american_bulldog_209.jpg
"boxer, american bulldog"	0.19	Great Dane	0.172	bull mastiff	0.102	378.116751	american_bulldog_21.jpg	images/american_bulldog_21.jpg
French bulldog	0.424	Labrador retriever	0.245	Chihuahua	0.142	381.433105	american_bulldog_211.jpg	images/american_bulldog_211.jpg
English setter	0.362	"clumber, clumber spaniel"	0.204	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.156	384.7265859	american_bulldog_212.jpg	images/american_bulldog_212.jpg
Labrador retriever	0.808	"basset, basset hound"	0.036	Weimaraner	0.033	388.05195	american_bulldog_214.jpg	images/american_bulldog_214.jpg
Labrador retriever	0.808	French bulldog	0.054	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.046	391.3997478	american_bulldog_216.jpg	images/american_bulldog_216.jpg
French bulldog	0.273	Labrador retriever	0.173	"boxer, american bulldog"	0.121	394.7061338	american_bulldog_217.jpg	images/american_bulldog_217.jpg
Labrador retriever	0.801	"boxer, american bulldog"	0.09	bath towel	0.021	398.0272958	american_bulldog_218.jpg	images/american_bulldog_218.jpg
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita"	0.382	"boxer, american bulldog"	0.096	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.093	401.3200269	american_bulldog_22.jpg	images/american_bulldog_22.jpg
Labrador retriever	0.869	"boxer, american bulldog"	0.032	"Staffordshire bullterrier, Staffordshire bull terrier"	0.014	404.6262059	american_bulldog_220.jpg	images/american_bulldog_220.jpg
Labrador retriever	0.644	Weimaraner	0.159	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.118	407.944417	american_bulldog_221.jpg	images/american_bulldog_221.jpg
"Saint Bernard, St Bernard"	0.682	"Cardigan, Cardigan Welsh corgi"	0.186	"English springer, English springer spaniel"	0.036	411.2576518	american_bulldog_224.jpg	images/american_bulldog_224.jpg
"boxer, american bulldog"	0.439	Great Dane	0.241	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.168	414.5842199	american_bulldog_23.jpg	images/american_bulldog_23.jpg
"Staffordshire bullterrier, Staffordshire bull terrier"	0.245	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.17	Great Dane	0.159	417.932472	american_bulldog_24.jpg	images/american_bulldog_24.jpg
"boxer, american bulldog"	0.608	Great Dane	0.119	"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita"	0.118	421.2189929	american_bulldog_25.jpg	images/american_bulldog_25.jpg
bull mastiff	0.503	"boxer, american bulldog"	0.147	"Saint Bernard, St Bernard"	0.126	424.5698268	american_bulldog_26.jpg	images/american_bulldog_26.jpg
redbone	0.396	"boxer, american bulldog"	0.155	Italian greyhound	0.069	427.8856499	american_bulldog_27.jpg	images/american_bulldog_27.jpg
bull mastiff	0.172	Labrador retriever	0.151	"Walker hound, Walker foxhound"	0.139	431.226423	american_bulldog_28.jpg	images/american_bulldog_28.jpg
"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus"	0.192	"Ibizan hound, Ibizan Podenco"	0.14	whippet	0.071	434.5404918	american_bulldog_29.jpg	images/american_bulldog_29.jpg
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.237	French bulldog	0.143	"pug, pug-dog"	0.126	437.8258588	american_bulldog_3.jpg	images/american_bulldog_3.jpg
"boxer, american bulldog"	0.51	"Staffordshire bullterrier, Staffordshire bull terrier"	0.26	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.147	441.3168259	american_bulldog_30.jpg	images/american_bulldog_30.jpg
"boxer, american bulldog"	0.372	French bulldog	0.327	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.098	444.606297	american_bulldog_31.jpg	images/american_bulldog_31.jpg
"boxer, american bulldog"	0.773	French bulldog	0.147	"Boston bull, Boston terrier"	0.077	447.9022288	american_bulldog_32.jpg	images/american_bulldog_32.jpg
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.193	Labrador retriever	0.152	"bow tie, bow-tie, bowtie"	0.113	451.390326	american_bulldog_33.jpg	images/american_bulldog_33.jpg
Great Dane	0.226	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.17	"Staffordshire bullterrier, Staffordshire bull terrier"	0.128	454.7552879	american_bulldog_34.jpg	images/american_bulldog_34.jpg
bull mastiff	0.51	"boxer, american bulldog"	0.296	Great Dane	0.16	458.074023	american_bulldog_35.jpg	images/american_bulldog_35.jpg
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.345	Great Dane	0.168	"Staffordshire bullterrier, Staffordshire bull terrier"	0.168	461.3610568	american_bulldog_36.jpg	images/american_bulldog_36.jpg
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.574	"boxer, american bulldog"	0.355	"Staffordshire bullterrier, Staffordshire bull terrier"	0.049	464.6699409	american_bulldog_37.jpg	images/american_bulldog_37.jpg
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.434	"boxer, american bulldog"	0.184	"Staffordshire bullterrier, Staffordshire bull terrier"	0.15	468.04058	american_bulldog_38.jpg	images/american_bulldog_38.jpg
"boxer, american bulldog"	0.717	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.137	"Staffordshire bullterrier, Staffordshire bull terrier"	0.089	471.3380198	american_bulldog_39.jpg	images/american_bulldog_39.jpg
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.577	"Staffordshire bullterrier, Staffordshire bull terrier"	0.261	"boxer, american bulldog"	0.155	474.6344769	american_bulldog_40.jpg	images/american_bulldog_40.jpg
"boxer, american bulldog"	0.412	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.287	"Staffordshire bullterrier, Staffordshire bull terrier"	0.186	477.9627879	american_bulldog_41.jpg	images/american_bulldog_41.jpg
"Boston bull, Boston terrier"	0.472	"English springer, English springer spaniel"	0.23	French bulldog	0.067	481.258462	american_bulldog_42.jpg	images/american_bulldog_42.jpg
"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.374	"boxer, american bulldog"	0.301	"Staffordshire bullterrier, Staffordshire bull terrier"	0.112	484.5714569	american_bulldog_43.jpg	images/american_bulldog_43.jpg
French bulldog	0.504	"boxer, american bulldog"	0.352	"Staffordshire bullterrier, Staffordshire bull terrier"	0.039	487.9454989	american_bulldog_44.jpg	images/american_bulldog_44.jpg
"boxer, american bulldog"	0.456	"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"	0.291	"Staffordshire bullterrier, Staffordshire bull terrier"	0.084	491.2530589	american_bulldog_45.jpg	images/american_bulldog_45.jpg
French bulldog	0.888	"boxer, american bulldog"	0.078	"Boston bull, Boston terrier"	0.023	494.697603	american_bulldog_46.jpg	images/american_bulldog_46.jpg
